Date,Open,High,Low,Close,Volume
09-10-18,1.00427,1.00833,1.00003,1.00686,108803
10-10-18,1.00494,1.01908,1.00397,1.00962,711783
11-10-18,1.00994,1.03123,1.00173,1.00978,4177290
12-10-18,1.00861,1.01871,1.00114,1.01272,1322240
13-10-18,1.01445,1.02029,1.00355,1.00743,698507
14-10-18,1.00726,1.02251,1.00492,1.01631,982750
15-10-18,1.0169,1.11373,0.998372,1.0268,10660400
16-10-18,1.02723,1.03551,1.01899,1.02143,2124080
17-10-18,1.02404,1.02653,1.01058,1.01219,1102740
18-10-18,1.01466,1.02062,1.00923,1.01489,1182450
19-10-18,1.01475,1.01643,1.00631,1.00698,715078
20-10-18,1.00749,1.01363,1.00255,1.00643,299871
21-10-18,1.00682,1.01961,1.0032,1.0129,509276
22-10-18,1.01231,1.0248,1.00329,1.0093,1211160
23-10-18,1.00923,1.01796,1.00747,1.01059,1503840
24-10-18,1.00938,1.01209,1.00238,1.01002,923940
25-10-18,1.01046,1.01369,1.0019,1.00797,1365520
26-10-18,1.00611,1.01552,1.00352,1.01163,950623
27-10-18,1.01208,1.01489,1.00107,1.00824,712963
28-10-18,1.00662,1.01496,1.00273,1.01107,282707
29-10-18,1.01083,1.019,1.00553,1.00837,1983680
30-10-18,1.00643,1.01086,1.00301,1.00468,715882
31-10-18,1.00673,1.00873,0.994033,0.996386,1279360
01-11-18,0.996413,1.0184,0.991167,0.992502,1800480
02-11-18,0.992897,1.00801,0.988213,0.999969,2042390
03-11-18,1.00028,1.0083,0.99781,1.00379,1402480
04-11-18,1.00401,1.00809,0.982746,0.997669,2144200
05-11-18,0.996997,1.00745,0.996702,0.998748,1287400
06-11-18,1.00249,1.00506,0.99711,1.00052,2241070
07-11-18,1.00144,1.01161,0.997181,1.0043,2589880
08-11-18,1.00383,1.00721,0.998625,1.00384,3423190
09-11-18,1.00407,1.01361,1.00194,1.00804,3478250
10-11-18,1.00711,1.02973,0.995854,1.01096,2497760
11-11-18,1.01264,1.01993,0.996741,1.00901,4726130
12-11-18,1.00856,1.01514,1.0006,1.0132,6446540
13-11-18,1.00826,1.02223,0.999477,1.01282,6483310
14-11-18,1.01763,1.04334,0.999077,1.02307,24013300
15-11-18,1.02067,1.06139,1.00785,1.01831,18776600
16-11-18,1.01712,1.03941,1.00618,1.03027,9247040
17-11-18,1.03344,1.03933,1.00616,1.00912,5537380
18-11-18,1.00962,1.01463,1.00118,1.01188,5735460
19-11-18,1.01203,1.05217,1.00131,1.02019,27873100
20-11-18,1.01588,1.0567,1.00722,1.01995,43293600
21-11-18,1.02412,1.03205,1.00892,1.01441,20164000
22-11-18,1.01285,1.02256,1.00616,1.01948,11556600
23-11-18,1.01613,1.02783,1.00833,1.02061,17717500
24-11-18,1.01718,1.03969,1.01105,1.02296,19409700
25-11-18,1.02687,1.04013,0.990265,1.02596,23476200
26-11-18,1.01831,1.05881,1.01551,1.03741,29734800
27-11-18,1.03242,1.038,0.995528,1.0121,13622700
28-11-18,1.00871,1.02585,1.00372,1.01164,23327400
29-11-18,1.011676431,1.020604029,1.003920436,1.014596749,18025473.45
30-11-18,1.013566686,1.020449374,1.004065696,1.010396707,14143220.53
01-12-18,1.012817895,1.025343066,1.000193609,1.008197383,14198648.63
02-12-18,1.008255494,1.03179218,0.993286727,1.012771208,10761894.92
03-12-18,1.011119438,1.016583108,1.000215911,1.009748877,12188098.38
04-12-18,1.009027656,1.016427087,1.003539743,1.012795026,12556999.26
05-12-18,1.011454952,1.018598498,1.00489167,1.013633042,14257800.15
06-12-18,1.010984896,1.021668682,1.002131621,1.018265923,21637768.21
07-12-18,1.017930848,1.025060206,1.002380554,1.011308039,29947363.4
08-12-18,1.011298363,1.027576426,1.006570438,1.02218329,17724713.57
09-12-18,1.018798558,1.032773861,1.013917485,1.01825284,14831258.81
10-12-18,1.018171277,1.029119876,1.014796083,1.024692507,12987867.68
11-12-18,1.025233262,1.037340535,1.017228598,1.02033574,12104530.97
12-12-18,1.021955945,1.042864673,0.989760359,1.022770452,10392692.95
13-12-18,1.036771237,1.036771237,0.9829854,1.015912861,8569160.365
14-12-18,1.015233599,1.028429726,1.012029218,1.017291899,11571583.57
15-12-18,1.018393083,1.021465445,0.995120999,0.997940301,8595918.519
16-12-18,1.004841125,1.041059867,0.998008593,1.011961035,9383751.111
17-12-18,1.027452213,1.03396899,0.99806766,1.014233056,18392474.95
18-12-18,1.014195319,1.020585451,1.000013312,1.00985375,24572396.14
19-12-18,1.009053098,1.02086046,1.002077568,1.019230413,46352135.2
20-12-18,1.021235249,1.024418369,1.006774022,1.015119238,58976757.96
21-12-18,1.016415976,1.024197257,1.00610032,1.015426883,46603503.79
22-12-18,1.012442045,1.019031036,0.997087341,1.01066757,26222949.62
23-12-18,1.008021321,1.017750574,1.005426331,1.010718785,23629167.73
24-12-18,1.010748715,1.021428005,0.998427723,1.011571175,43621600.96
25-12-18,1.010194551,1.028384855,1.00804621,1.01173712,27610568.77
26-12-18,1.013208972,1.021889522,1.006779011,1.013624423,19786403.06
27-12-18,1.015598392,1.033882324,1.011579152,1.017480479,23019282.06
28-12-18,1.017390275,1.018526774,0.978583208,1.011210382,28974097.7
29-12-18,1.010881741,1.040258433,1.002529007,1.021664739,22783697.1
30-12-18,1.019605354,1.025472777,1.009650239,1.01316869,18537225.1
31-12-18,1.012397959,1.025765416,1.005235563,1.016565127,20975704.09
01-01-19,1.018945867,1.022230345,1.008677397,1.013300604,17007852.85
02-01-19,1.014262311,1.020264079,1.009168464,1.018172612,18125812.4
03-01-19,1.014457644,1.022561713,1.009954375,1.013577046,15279811.12
04-01-19,1.015247475,1.017634789,1.001057678,1.008160492,17203035.97
05-01-19,1.006733186,1.016117817,1.002452583,1.011009597,15428171.05
06-01-19,1.0107496,1.015288994,0.989168826,1.010108045,18503989
07-01-19,1.009508856,1.012168089,1.001629111,1.00535776,18697630.36
08-01-19,1.006053757,1.016626981,1.004016042,1.007918278,23189996.46
09-01-19,1.006614354,1.011260554,1.00076302,1.002263818,23000567.44
10-01-19,1.002841985,1.034793351,1.001950267,1.013103606,51534670.43
11-01-19,1.01694212,1.017006633,1.007704889,1.014734773,25279714.61
12-01-19,1.014781308,1.017494142,1.007726959,1.010691379,12617410.29
13-01-19,1.010935134,1.026267986,1.008317675,1.011109463,16808894.46
14-01-19,1.011012027,1.016635393,0.998743541,1.007592022,25825886.26
15-01-19,1.007458291,1.017956737,1.006509702,1.01206905,26459207.48
16-01-19,1.013240089,1.017728939,1.007983335,1.012362885,25957205.83
17-01-19,1.010017877,1.044891531,1.009570361,1.030352662,41708422.16
18-01-19,1.029060527,1.035452371,1.00983019,1.013114831,18899249.35
19-01-19,1.009877168,1.014776457,1.002610462,1.011410611,15830399.92
20-01-19,1.012287445,1.028618832,1.010474785,1.016669063,14934092.26
21-01-19,1.015444668,1.022764613,1.006686386,1.012546931,12277261.23
22-01-19,1.013008213,1.016689148,1.006481559,1.008540964,18848807.08
23-01-19,1.008717113,1.013386008,1.006288805,1.008735042,14686835.44
24-01-19,1.009252227,1.013039732,1.006648736,1.010270903,19309436.87
25-01-19,1.010968871,1.013593262,1.008942501,1.012050091,16078526.37
26-01-19,1.01197512,1.015329831,1.006315253,1.012475951,12311593.21
27-01-19,1.013716129,1.019325933,1.011609886,1.013941588,17334193.18
28-01-19,1.014655922,1.019119521,1.010957433,1.011802436,34421447.68
29-01-19,1.011793945,1.01739375,1.010076078,1.014050355,26620697.75
30-01-19,1.013843065,1.016512479,1.009880288,1.013233175,28233800.64
31-01-19,1.01316195,1.015768931,1.000758025,1.012484839,30016994.15
01-02-19,1.011765224,1.031891507,1.007820482,1.015844405,26896946.93
02-02-19,1.014754008,1.018363656,1.011024757,1.018337902,23207115.11
03-02-19,1.015590316,1.016900117,1.006640667,1.014243501,26365349.13
04-02-19,1.013759854,1.016735085,1.009285437,1.011425297,24242526.29
05-02-19,1.011568311,1.014165615,1.005799691,1.008729424,19011789.13
06-02-19,1.008876883,1.017234423,1.007527106,1.013050612,27032563.55
07-02-19,1.013648608,1.024723515,1.008753365,1.011048351,15429983.01
08-02-19,1.011391981,1.024334644,1.008218821,1.017312437,31291520.5
09-02-19,1.017205017,1.018622655,1.008241576,1.011700656,21523061.7
10-02-19,1.011948582,1.020549968,1.0102409,1.014388672,19451267.76
11-02-19,1.015700889,1.019635824,1.011723411,1.013288809,19063317.98
12-02-19,1.012431464,1.019593178,1.011378919,1.017773871,28682062.69
13-02-19,1.018412116,1.019184713,1.008824259,1.011627507,27483515.31
14-02-19,1.010976005,1.015570309,1.009054029,1.01142857,27582140.32
15-02-19,1.01197444,1.016546175,1.003474421,1.011822631,35775279.33
16-02-19,1.011506349,1.015649114,1.006993811,1.013239232,44255528.91
17-02-19,1.014425105,1.02654818,1.008301875,1.023789313,45168007.38
18-02-19,1.023101715,1.030940899,1.001528999,1.012896711,51464755.69
19-02-19,1.013004438,1.019668533,1.003322979,1.004068983,49393554.14
20-02-19,1.004050011,1.020462792,0.998658346,1.015741059,41527390.05
21-02-19,1.015285781,1.016393946,1.005129786,1.01201724,35317064.4
22-02-19,1.009836308,1.019425307,1.005460821,1.015737657,32159402.8
23-02-19,1.014065623,1.037757876,1.007201105,1.012144553,36243964.42
24-02-19,1.013238815,1.028911599,0.998950106,1.007180643,51756152.33
25-02-19,1.004342882,1.022759399,1.004342882,1.017585885,52796840.54
26-02-19,1.01623,1.02151932,1.011172038,1.011172038,42569527.34
27-02-19,1.012674714,1.021757235,1.008284642,1.015961537,38328217.02
28-02-19,1.015191975,1.019919197,1.010603042,1.013672793,31630078.72
01-03-19,1.013116633,1.023724123,1.010856475,1.010856475,21097111.03
02-03-19,1.010091678,1.020116928,1.008077507,1.009984794,18482080.16
03-03-19,1.00870554,1.014853741,1.006931029,1.011975268,17429846.13
04-03-19,1.010313514,1.017490884,1.010313514,1.015483078,23960578.28
05-03-19,1.015727019,1.016844956,1.010612094,1.016844956,32016571.09
06-03-19,1.017554224,1.020753977,1.011851166,1.013903397,24347411.62
07-03-19,1.013457857,1.0177643,1.011248094,1.013484738,24225453.64
08-03-19,1.014445202,1.021450571,1.010581764,1.014519374,27535813.11
09-03-19,1.014161748,1.020489204,1.011231194,1.01235844,24550954.45
10-03-19,1.01430472,1.022843111,1.010446126,1.019504116,21622741.99
11-03-19,1.020556645,1.021483458,1.010479281,1.013619803,25473881.33
12-03-19,1.013249575,1.016527877,1.007853916,1.012157422,25249458
13-03-19,1.012821008,1.019185247,1.010846769,1.013291789,32955077.63
14-03-19,1.01337352,1.020239475,1.012436302,1.017089886,30654410.79
15-03-19,1.016306499,1.01961995,1.014159845,1.015260424,30356978.95
16-03-19,1.016043846,1.018657221,1.011297722,1.015428222,35637111.88
17-03-19,1.015051861,1.023567012,1.014360964,1.019449217,38655613.79
18-03-19,1.020424677,1.022032287,1.010793888,1.015398266,41889761.44
19-03-19,1.015600165,1.021018705,1.014353943,1.016152244,34394866.81
20-03-19,1.0168694,1.017715247,1.009990364,1.014157686,43164010.9
21-03-19,1.013644363,1.016827637,1.010556077,1.01404819,43135934.5
22-03-19,1.013599748,1.01771546,1.008659642,1.009015618,33465329.21
23-03-19,1.009157408,1.015116704,1.00746187,1.012213605,23348602.35
24-03-19,1.011324271,1.012771549,1.003366068,1.008054468,17336323.6
25-03-19,1.008745656,1.024254239,1.006248278,1.012812875,34431702.84
26-03-19,1.013405247,1.015081141,1.009070052,1.01250811,33876853.67
27-03-19,1.012514334,1.019658756,1.011053996,1.016144337,37698423.02
28-03-19,1.016434629,1.020600607,1.006387093,1.013795067,28392575.82
29-03-19,1.013795067,1.015089482,0.998832725,1.00252877,37377860.59
30-03-19,1.000946993,1.049148877,0.992954866,1.001990259,26227080.53
31-03-19,1.001990259,1.008056712,0.998964933,1.001494426,24262614.98
01-04-19,1.001393779,1.005909931,0.994119236,1.002633325,30912903.48
02-04-19,1.002337565,1.022610429,0.993830331,1.001929789,75355543.16
03-04-19,1.001950448,1.024855197,0.98915028,1.000928651,87987039.89
04-04-19,1.000980428,1.00699046,0.997175518,1.002344528,52686901.66
05-04-19,1.002702546,1.009741857,1.000149723,1.002799395,43799308.24
06-04-19,1.003230244,1.011863137,0.997351269,1.001002161,43756480.94
07-04-19,1.000422108,1.013262757,0.998052295,1.005358967,43184041.91
08-04-19,1.00574914,1.008037171,0.993660246,1.00212752,49978404.9
09-04-19,1.00212752,1.004023251,0.996617352,1.001180994,40372953.85
10-04-19,1.000973366,1.014706009,0.995967309,1.001379284,48590445.31
11-04-19,1.001674195,1.005682075,0.997778755,1.002825828,63695456.7
12-04-19,1.002579295,1.005833293,0.998883927,1.002897771,44545387.02
13-04-19,1.003026453,1.006114668,1.000304685,1.004067014,35520364.68
14-04-19,1.004067014,1.009900275,0.999414267,1.008024895,31692817.87
15-04-19,1.008024895,1.009677307,0.99565944,0.998979987,44283943.1
16-04-19,0.999090275,1.013752655,0.997580122,1.01040846,31481366.08
17-04-19,1.011733511,1.014480798,1.001949473,1.005684353,32737398.05
18-04-19,1.005479666,1.007622636,1.000258028,1.002645011,41597044.06
19-04-19,1.003558265,1.005238644,0.997392145,1.002629344,34134430.34
20-04-19,1.002941863,1.005641954,0.996162053,1.000968548,39216249.89
21-04-19,1.001430341,1.007247187,0.994410619,1.002082856,46250000.34
22-04-19,1.002070464,1.008207115,0.996920829,1.00383837,46697245.33
23-04-19,1.003561532,1.005401412,0.994680205,0.999439259,55954909.01
24-04-19,0.999439259,1.004548185,0.99196492,0.998930569,56853284.87
25-04-19,0.998736665,1.017527185,0.996013821,1.007149956,82371631.33
26-04-19,1.005209474,1.024261562,1.005209474,1.01939379,113370626.1
27-04-19,1.019079365,1.021036426,1.011624082,1.012978936,48849897.87
28-04-19,1.013007558,1.018955891,1.012300726,1.015593852,44378358.83
29-04-19,1.015890663,1.018484867,1.010362029,1.015280982,71768244.49
30-04-19,1.015309425,1.017551067,1.010916605,1.015304469,81415438.18
01-05-19,1.015208742,1.016276464,1.00823607,1.011902643,90100966.58
02-05-19,1.01164226,1.018533788,1.011327024,1.016191624,83209786.83
03-05-19,1.016299987,1.023688986,1.009819627,1.017826277,108921202.7
04-05-19,1.017826277,1.022566183,1.00573806,1.009245099,117381605.3
05-05-19,1.009765586,1.013185306,1.003256621,1.009385822,79929580.93
06-05-19,1.009169713,1.012383027,1.006451707,1.008191063,89601154.98
07-05-19,1.008146802,1.016901742,1.002870706,1.010691975,100559474.9
08-05-19,1.009757611,1.017101227,1.005149578,1.007400437,99486107.59
09-05-19,1.007201642,1.009637172,1.002185868,1.004043709,134758322.6
10-05-19,1.004332674,1.009811866,1.000587009,1.005606946,247829263.9
11-05-19,1.006717542,1.010416058,0.9885574,0.99685776,510302993.2
12-05-19,0.995416112,1.011861011,0.991181578,0.99835326,481377527.1
13-05-19,0.99835326,1.008019975,0.982582775,0.999698383,268233282.7
14-05-19,0.998884325,1.009402563,0.992934511,0.998840839,235041654.1
15-05-19,0.998904943,1.003251763,0.994539375,0.998185949,217410064.3
16-05-19,0.99751682,1.012565903,0.99090447,0.998786625,289789111.4
17-05-19,0.999223439,1.018814774,0.993125236,0.998728503,293691287.8
18-05-19,0.998728503,1.006790667,0.993305801,0.996542465,154811621.6
19-05-19,0.997067005,1.007531743,0.989989072,1.002773039,184721780
20-05-19,1.002773039,1.014682362,0.992918655,0.996523995,276118419.7
21-05-19,0.997358013,1.003509542,0.994718585,0.998888742,170890834.5
22-05-19,0.998888742,1.008836355,0.992418111,1.000086742,125174451.7
23-05-19,1.000195984,1.00357988,0.995097479,0.999963051,129739544.3
24-05-19,0.999716195,1.003534466,0.997169634,0.99837538,148518446.2
25-05-19,0.99837538,1.001138377,0.996547361,0.998014712,95403890.68
26-05-19,0.997862794,1.004628327,0.992297044,0.997113387,132653002.6
27-05-19,0.997423428,1.017167114,0.995017685,1.004838058,157886327.6
28-05-19,1.005731462,1.00734749,0.997232987,1.005178788,106019350.7
29-05-19,1.005424456,1.006637934,0.997151403,0.99842998,115843795.7
30-05-19,0.99842998,1.023724577,0.994785805,0.999489607,169319400.8
31-05-19,0.999489607,1.006238169,0.996260726,1.001047213,98020521.22
01-06-19,1.00065452,1.007659752,0.996019536,0.999937236,70583906.85
02-06-19,0.999937236,1.006974449,0.995501445,0.999190959,80548186.78
03-06-19,0.999190959,1.017046813,0.993418287,0.997897294,111821197.9
04-06-19,0.999078953,1.015425619,0.992252703,1.002485307,136428048.9
05-06-19,1.002485307,1.011630681,0.997838261,1.003696134,93861384.74
06-06-19,1.003113546,1.013929742,0.994033781,1.00373305,85196343.99
07-06-19,1.004524738,1.004878728,0.99780114,1.001689846,86557460.43
08-06-19,1.001207488,1.004137816,0.993334998,0.994124025,58308367.74
09-06-19,0.993977219,1.00311995,0.99333294,1.001663652,71761740.42
10-06-19,1.00061179,1.004121175,0.993354123,1.000683131,84730094.77
11-06-19,1.000810144,1.006172298,0.997643153,1.000738345,77849491.81
12-06-19,1.00102155,1.004014788,0.99183386,0.999853612,104507306.1
13-06-19,0.99908912,1.002803464,0.997684694,0.998953131,100661027.3
14-06-19,0.999250546,1.002991137,0.996034945,1.002579582,102745227.1
15-06-19,1.001634285,1.003165961,0.997003428,0.999233932,74693218.47
16-06-19,0.999233932,1.013554165,0.996731283,1.000211282,110310160
17-06-19,1.0001429,1.006249026,0.996584843,1.002318176,109557093.8
18-06-19,1.0041698,1.006217858,0.99699364,0.998628368,100022653
19-06-19,0.998300997,1.002897728,0.996584669,0.998909669,76300038.03
20-06-19,0.998657876,1.001453972,0.993101213,0.997663075,119884298.5
21-06-19,0.997613155,1.008147888,0.996048894,0.99805084,112588158.6
22-06-19,0.998379271,1.018914102,0.995402654,0.999975037,198318683.9
23-06-19,0.999851759,1.01409925,0.997140294,1.000463385,126408036.6
24-06-19,1.000463385,1.007495195,0.996779706,1.000000422,146462988.4
25-06-19,0.999823809,1.01196445,0.996469709,1.002846112,162151709.4
26-06-19,1.002846112,1.039042744,0.993659168,1.004521753,301891500.6
27-06-19,1.004521753,1.014845581,0.99653417,1.001821802,270933375.2
28-06-19,1.000684458,1.008436884,0.998174888,1.002669769,222978119.8
29-06-19,1.002769916,1.017360714,0.996092748,0.999632328,204845657.2
30-06-19,1.00047108,1.012141564,0.997759873,1.003192407,184930416.3
01-07-19,1.003192407,1.010281758,0.995321556,1.000836899,180323705.4
02-07-19,1.00057891,1.008890336,0.988337191,1.002063045,197506894.3
03-07-19,1.002373494,1.006627689,0.988103716,1.000989721,187818875.7
04-07-19,1.001409529,1.014530807,0.996877475,0.999386399,157145205.1
05-07-19,0.999067224,1.008678559,0.992536367,1.000465871,105604888.7
06-07-19,1.000374032,1.00729547,0.991649856,0.996119938,95844874.4
07-07-19,0.995885259,1.003343068,0.992825806,0.996719608,79091528.78
08-07-19,0.99683596,1.004624834,0.986717665,0.999370345,122496181.2
09-07-19,0.999553409,1.014744421,0.995197196,0.999477453,164588272.5
10-07-19,0.997852136,1.01430619,0.992217949,1.001109987,190158658
11-07-19,1.001079086,1.010073015,0.99561608,0.999334869,178747822
12-07-19,0.998723275,1.004236156,0.994867816,1.001399639,135296873.9
13-07-19,1.001901361,1.009782247,0.995311457,0.999130555,95762367.26
14-07-19,0.99864239,1.011653915,0.995564294,0.998567846,106041670.1
15-07-19,0.999675155,1.007357816,0.994529795,1.003612908,138049441.1
16-07-19,1.004520755,1.011869513,0.994944875,0.999940746,184923693.3
17-07-19,1.000761087,1.005520314,0.994467988,1.002289213,162980967.5
18-07-19,1.002467044,1.006949789,0.985635833,1.003288633,170055528.8
19-07-19,1.003288633,1.016471835,0.99111554,0.999852105,123323972.4
20-07-19,0.999387959,1.012784526,0.994834887,1.001830246,97823105.81
21-07-19,1.002566494,1.006294244,0.99771393,1.001431412,77161429.19
22-07-19,1.001157342,1.014240483,0.993030042,1.001711131,84139079.04
23-07-19,1.001405064,1.005345199,0.99593848,1.00110429,76690056.52
24-07-19,1.00110429,1.011465451,0.997352931,1.003262592,81723547.61
25-07-19,1.003572048,1.007938779,0.994108879,1.003125064,94853818.69
26-07-19,1.002710294,1.008873587,0.996990097,1.00260818,65047969.77
27-07-19,1.00260818,1.017973543,0.991735293,1.000623044,112409399.8
28-07-19,1.000623044,1.011242196,0.987131796,1.002014883,61030065.61
29-07-19,1.000850688,1.008105278,0.996313097,1.002725481,64034828.83
30-07-19,1.002697425,1.005446579,0.993544094,1.002622531,72740002.88
31-07-19,1.001685634,1.005311516,0.997599853,1.001692547,76363106.61
01-08-19,1.001614516,1.006055917,0.995647261,1.002258029,90755236.42
02-08-19,1.002507877,1.008710737,0.99891042,0.999780109,108695096
03-08-19,0.999884706,1.005117182,0.997354432,1.00178111,139947811.7
04-08-19,1.001927546,1.005113774,0.993340402,0.998090274,105761004.2
05-08-19,0.998153814,1.006179046,0.991843294,1.00210509,343644658.7
06-08-19,1.002952005,1.018674554,0.995983934,0.999602455,149803388.3
07-08-19,0.999112704,1.018451084,0.996901051,1.001156041,133917478.7
08-08-19,1.001156041,1.006976103,0.994047567,0.996485149,107836436
09-08-19,0.996950772,1.005393501,0.996643135,0.999861721,86084348.81
10-08-19,0.999861721,1.022711345,0.996632018,1.003113912,121464046.5
11-08-19,1.003113548,1.008513422,0.997096802,0.997542637,88725827.67
12-08-19,0.998814382,1.010880875,0.998021703,1.002359021,101717902.5
13-08-19,1.001779183,1.007375535,0.998525383,1.000629615,106639934
14-08-19,1.000356045,1.013372896,0.996125251,1.001967551,155009809.7
15-08-19,1.001967551,1.007255435,0.989803806,1.000913584,139392935.7
16-08-19,1.001360924,1.008331937,0.986851924,1.00086079,125713021.3
17-08-19,1.000716789,1.006186988,0.994024622,1.000852647,87160072.31
18-08-19,1.000302288,1.004606393,0.994149761,1.00178389,84496696.98
19-08-19,1.00171301,1.005922439,0.994657189,1.001147908,110441849.3
20-08-19,1.00126223,1.006369668,0.997714097,1.001564238,95290235.51
21-08-19,1.001375924,1.017171166,0.994325868,0.999723264,140393307.8
22-08-19,0.999723264,1.013541065,0.995879564,1.000238143,161974031
23-08-19,1.000238143,1.011168321,0.990463448,1.001519264,166459701.2
24-08-19,1.00177586,1.013623762,0.994896919,1.002682082,148820459.7
25-08-19,1.002682082,1.012382414,0.995391786,0.999175448,155556320.1
26-08-19,0.999066035,1.00812132,0.987236156,1.002136871,188397602.4
27-08-19,1.002252316,1.008990091,0.99772893,1.00130685,134282531
28-08-19,1.000887119,1.028490175,0.996450998,0.999820744,167046463.7
29-08-19,1.000282986,1.007752672,0.997436134,1.003470883,148444116.2
30-08-19,1.003470883,1.006465044,0.997924015,1.000484657,118556193
31-08-19,1.000558014,1.01035523,0.999304141,1.003442144,88557732.51
01-09-19,1.003455803,1.004914389,0.997469586,1.001210219,85163334.3
02-09-19,1.0012511,1.002609573,0.990110057,0.997990205,188570485.3
03-09-19,0.998343091,1.008437072,0.994706112,1.000587166,312426040.4
04-09-19,1.000897718,1.005939314,0.995907227,1.001098406,214046130.8
05-09-19,1.001156281,1.004950936,0.995707215,0.99925213,161117388.5
06-09-19,0.99925213,1.017088323,0.995255791,1.002476674,235777567.1
07-09-19,1.003149384,1.004660577,0.995326747,1.00240587,216553605.4
08-09-19,1.002181165,1.016893082,0.996857007,1.003195073,184302338.1
09-09-19,1.003195073,1.009405535,0.990454786,1.001374712,320254411.9
10-09-19,1.001246912,1.016855067,0.998622144,1.001311139,287595684
11-09-19,1.001311139,1.008193699,0.998583548,1.002053576,170908062.4
